9495,8/26(火)　西日本ではきょうまで不安定な天気,2014年8月26日 8時00分,https://weather.yahoo.co.jp/weather/video/?c=9495,元井美貴
9500,天気ニュース - 日本列島に早くも秋の気配,2014年8月26日 11時24分,https://weather.yahoo.co.jp/weather/video/?c=9500,増田雅昭
9537,8/27(水)　東日本は不安定。関東～北日本の気温も注目,2014年8月26日 19時03分,https://weather.yahoo.co.jp/weather/video/?c=9537,國本未華
9544,8/27(水)　東日本は不安定。関東～北日本の気温も注目,2014年8月26日 19時35分,https://weather.yahoo.co.jp/weather/video/?c=9544,國本未華
9567,8/27(水)　東日本では上着と傘を持ってお出かけを,2014年8月27日 7時10分,https://weather.yahoo.co.jp/weather/video/?c=9567,福岡良子
9611,天気ニュース - 台風史上最少の8月　9月に反動か？,2014年8月27日 19時16分,https://weather.yahoo.co.jp/weather/video/?c=9611,増田雅昭
9612,8/27（水）19時　東日本あすも雨具の出番,2014年8月27日 19時16分,https://weather.yahoo.co.jp/weather/video/?c=9612,中村美公
9662,8/28（木）7時　きょうも季節外れの肌寒さに,2014年8月28日 7時05分,https://weather.yahoo.co.jp/weather/video/?c=9662,福岡良子
9722,8/28（木）19時　九州～東北　折り畳み傘の出番,2014年8月28日 19時33分,https://weather.yahoo.co.jp/weather/video/?c=9722,國本未華
9730,天気ニュース - 戦後最悪の日照不足も。解消はいつ？,2014年8月28日 20時24分,https://weather.yahoo.co.jp/weather/video/?c=9730,佐藤大介
9756,8/29（金）7時　東北～九州　断続的に雨続く,2014年8月29日 7時05分,https://weather.yahoo.co.jp/weather/video/?c=9756,福岡良子
9838,天気ニュース - 9月にかけて野菜ジュースが売れる天気に？,2014年8月29日 17時28分,https://weather.yahoo.co.jp/weather/video/?c=9838,増田雅昭
9877,8/29（金）19時　変わり映えのしない天気,2014年8月29日 19時02分,https://weather.yahoo.co.jp/weather/video/?c=9877,井坂綾
9944,8/30（土）7時　日本海側を中心に 西から天気回復,2014年8月30日 8時12分,https://weather.yahoo.co.jp/weather/video/?c=9944,山口津香沙
9960,8/30（土）18時　東北から沖縄　雲多く　所々で雨,2014年8月30日 18時22分,https://weather.yahoo.co.jp/weather/video/?c=9960,小林正寿
10037,8/31（日）7時　晴れても折り畳み傘を忘れずに,2014年8月31日 7時19分,https://weather.yahoo.co.jp/weather/video/?c=10037,村木祐輔
